NAME OF COMPANY, DATE OF LISTING,SYMBOL, SERIES, ISIN NUMBER, PAID UP VALUE, MARKET LOT, FACE VALUE
20 Microns Limited,6-Oct-08,20MICRONS,EQ,INE144J01027,5,1,5
21st Century Management Services Limited,3-May-95,21STCENMGM,EQ,INE253B01015,10,1,10
3i Infotech Limited,22-Apr-05,3IINFOTECH,EQ,INE748C01020,10,1,10
3M India Limited,13-Aug-04,3MINDIA,EQ,INE470A01017,10,1,10
3P Land Holdings Limited,19-Jul-95,3PLAND,BE,INE105C01023,2,1,2
5Paisa Capital Limited,16-Nov-17,5PAISA,EQ,INE618L01018,10,1,10
63 moons technologies limited,20-Jun-05,63MOONS,EQ,INE111B01023,2,1,2
8K Miles Software Services Limited,29-Jan-14,8KMILES,BE,INE650K01021,5,1,5
A2Z Infra Engineering Limited,23-Dec-10,A2ZINFRA,EQ,INE619I01012,10,1,10
Aarti Drugs Limited,19-Sep-03,AARTIDRUGS,EQ,INE767A01016,10,1,10
Aarti Industries Limited,8-Feb-95,AARTIIND,EQ,INE769A01020,5,1,5
Aarvee Denims & Exports Limited,21-Nov-06,AARVEEDEN,EQ,INE273D01019,10,1,10
Aban Offshore Limited,29-Mar-95,ABAN,EQ,INE421A01028,2,1,2
ABB India Limited,8-Feb-95,ABB,EQ,INE117A01022,2,1,2
Abbott India Limited,8-Jan-10,ABBOTINDIA,EQ,INE358A01014,10,1,10
Aditya Birla Capital Limited,1-Sep-17,ABCAPITAL,EQ,INE674K01013,10,1,10
Aditya Birla Fashion and Retail Limited,17-Jul-13,ABFRL,EQ,INE647O01011,10,1,10
ABG Shipyard Limited,11-Apr-07,ABGSHIP,BZ,INE067H01016,10,1,10
ABM International Limited,14-Jun-16,ABMINTLTD,BE,INE251C01017,10,1,10
ACC Limited,20-Nov-96,ACC,EQ,INE012A01025,10,1,10
Accelya Kale Solutions Limited,1-Dec-99,ACCELYA,EQ,INE793A01012,10,1,10
Action Construction Equipment Limited,26-Sep-06,ACE,EQ,INE731H01025,2,1,2
Adani Enterprises Limited,4-Jun-97,ADANIENT,EQ,INE423A01024,1,1,1
Adani Green Energy Limited,18-Jun-18,ADANIGREEN,EQ,INE364U01010,10,1,10
Adani Ports and Special Economic Zone Limited,27-Nov-07,ADANIPORTS,EQ,INE742F01042,2,1,2
Adani Power Limited,20-Aug-09,ADANIPOWER,EQ,INE814H01011,10,1,10
Adani Transmission Limited,31-Jul-15,ADANITRANS,EQ,INE931S01010,10,1,10
ADF Foods Limited,15-Sep-10,ADFFOODS,EQ,INE982B01019,10,1,10
Adhunik Metaliks Limited,5-Apr-06,ADHUNIK,BE,INE400H01019,10,1,10
Adhunik Industries Limited,1-Jul-16,ADHUNIKIND,EQ,INE452L01012,10,1,10
Adlabs Entertainment Limited,6-Apr-15,ADLABS,EQ,INE172N01012,10,1,10
Ador Welding Limited,10-May-95,ADORWELD,EQ,INE045A01017,10,1,10
Adroit Infotech Limited,13-Aug-97,ADROITINFO,BE,INE737B01033,10,1,10
Allied Digital Services Limited,25-Jul-07,ADSL,EQ,INE102I01027,5,1,5
Advani Hotels & Resorts (India) Limited,25-Jun-07,ADVANIHOTR,EQ,INE199C01026,2,1,2
Advanced Enzyme Technologies Limited,1-Aug-16,ADVENZYMES,EQ,INE837H01020,2,1,2
Aegis Logistics Limited,3-Apr-96,AEGISCHEM,EQ,INE208C01025,1,1,1
Accel Frontline Limited,30-Oct-06,AFL,EQ,INE020G01017,10,1,10
Agarwal Industrial Corporation Limited,26-May-14,AGARIND,EQ,INE204E01012,10,1,10
AGC Networks Limited,22-Jul-03,AGCNET,EQ,INE676A01019,10,1,10
Artemis Global Life Sciences Limited,20-Jul-17,AGLSL,EQ,INE517U01013,2,1,2
Agri-Tech (India) Limited,28-Jan-14,AGRITECH,EQ,INE449G01018,10,1,10
Asian Hotels (East) Limited,11-Aug-10,AHLEAST,EQ,INE926K01017,10,1,10
Ahluwalia Contracts (India) Limited,14-Dec-09,AHLUCONT,EQ,INE758C01029,2,1,2
Asian Hotels (West) Limited,5-Aug-10,AHLWEST,EQ,INE915K01010,10,1,10
AIA Engineering Limited,14-Dec-05,AIAENG,EQ,INE212H01026,2,1,2
AI Champdany Industries Limited,14-Feb-07,AICHAMP,BE,INE768E01024,5,1,5
Ashapura Intimates Fashion Limited,2-Dec-15,AIFL,EQ,INE428O01016,10,1,10
Monnet Ispat & Energy Limited,12-Sep-18,AIONJSW,BE,INE743C01021,10,1,10
Ajanta Pharma Limited,29-May-00,AJANTPHARM,EQ,INE031B01049,2,1,2
Ajmera Realty & Infra India Limited,16-Jun-09,AJMERA,EQ,INE298G01027,10,1,10
AksharChem India Limited,28-Mar-17,AKSHARCHEM,EQ,INE542B01011,10,1,10
Aksh Optifibre Limited,18-Aug-00,AKSHOPTFBR,EQ,INE523B01011,5,1,5
Akzo Nobel India Limited,28-Jun-01,AKZOINDIA,EQ,INE133A01011,10,1,10
Alankit Limited,30-Jun-15,ALANKIT,EQ,INE914E01040,1,1,1
Albert David Limited,14-Jun-16,ALBERTDAVD,EQ,INE155C01010,10,1,10
Allahabad Bank,29-Nov-02,ALBK,EQ,INE428A01015,10,1,10
Alchemist Limited,31-Jul-07,ALCHEM,BE,INE964B01033,10,1,10
Alembic Limited,22-Sep-99,ALEMBICLTD,EQ,INE426A01027,2,1,2
Alicon Castalloy Limited,29-Sep-06,ALICON,EQ,INE062D01024,5,1,5
Alkali Metals Limited,6-Nov-08,ALKALI,EQ,INE773I01017,10,1,10
Alkem Laboratories Limited,23-Dec-15,ALKEM,EQ,INE540L01014,2,1,2
