Company Name,Industry,Symbol,Series,ISIN Code
Ajanta Pharmaceuticals Ltd.,PHARMA,AJANTPHARM,EQ,INE031B01049
Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING,BHARATFORG,EQ,INE465A01025
Biocon Ltd.,PHARMA,BIOCON,EQ,INE376G01013
Canara Bank,FINANCIAL SERVICES,CANBK,EQ,INE476A01014
Divi's Laboratories Ltd.,PHARMA,DIVISLAB,EQ,INE361B01024
Exide Industries Ltd.,AUTOMOBILE,EXIDEIND,EQ,INE302A01020
Federal Bank Ltd.,FINANCIAL SERVICES,FEDERALBNK,EQ,INE171A01029
IDFC Bank Ltd.,FINANCIAL SERVICES,IDFCBANK,EQ,INE092T01019
Indraprastha Gas Ltd.,ENERGY,IGL,EQ,INE203G01027
Mahindra & Mahindra Financial Services Ltd.,FINANCIAL SERVICES,M&MFIN,EQ,INE774D01024
Reliance Infrastructure Ltd.,ENERGY,RELINFRA,EQ,INE036A01016
TVS Motor Company Ltd.,AUTOMOBILE,TVSMOTOR,EQ,INE494B01023
Tata Global Beverages Ltd.,CONSUMER GOODS,TATAGLOBAL,EQ,INE192A01025
Union Bank of India,FINANCIAL SERVICES,UNIONBANK,EQ,INE692A01016
Voltas Ltd.,CONSTRUCTION,VOLTAS,EQ,INE226A01021
