Company Name,Industry,Symbol,Series,ISIN Code
Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT,EQ,INE021A01026
Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO,EQ,INE917I01010
Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE,EQ,INE296A01024
Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,BEL,EQ,INE263A01024
Bosch Ltd.,AUTOMOBILE,BOSCHLTD,EQ,INE323A01026
Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA,EQ,INE216A01022
Coal India Ltd.,METALS,COALINDIA,EQ,INE522F01014
Colgate Palmolive (India) Ltd.,CONSUMER GOODS,COLPAL,EQ,INE259A01022
Container Corporation of India Ltd.,SERVICES,CONCOR,EQ,INE111A01025
Dabur India Ltd.,CONSUMER GOODS,DABUR,EQ,INE016A01026
Eicher Motors Ltd.,AUTOMOBILE,EICHERMOT,EQ,INE066A01013
Godrej Consumer Products Ltd.,CONSUMER GOODS,GODREJCP,EQ,INE102D01028
HCL Technologies Ltd.,IT,HCLTECH,EQ,INE860A01027
HDFC Bank Ltd.,FINANCIAL SERVICES,HDFCBANK,EQ,INE040A01026
Havells India Ltd.,CONSUMER GOODS,HAVELLS,EQ,INE176B01034
Hero MotoCorp Ltd.,AUTOMOBILE,HEROMOTOCO,EQ,INE158A01026
Hindustan Unilever Ltd.,CONSUMER GOODS,HINDUNILVR,EQ,INE030A01027
Hindustan Zinc Ltd.,METALS,HINDZINC,EQ,INE267A01025
I T C Ltd.,CONSUMER GOODS,ITC,EQ,INE154A01025
Infosys Ltd.,IT,INFY,EQ,INE009A01021
LIC Housing Finance Ltd.,FINANCIAL SERVICES,LICHSGFIN,EQ,INE115A01026
Marico Ltd.,CONSUMER GOODS,MARICO,EQ,INE196A01026
Maruti Suzuki India Ltd.,AUTOMOBILE,MARUTI,EQ,INE585B01010
Oracle Financial Services Software Ltd.,IT,OFSS,EQ,INE881D01027
Pidilite Industries Ltd.,CHEMICALS,PIDILITIND,EQ,INE318A01026
Rural Electrification Corporation Ltd.,FINANCIAL SERVICES,RECLTD,EQ,INE020B01018
Sun TV Network Ltd.,MEDIA & ENTERTAINMENT,SUNTV,EQ,INE424H01027
Tata Consultancy Services Ltd.,IT,TCS,EQ,INE467B01029
Titan Company Ltd.,CONSUMER GOODS,TITAN,EQ,INE280A01028
Yes Bank Ltd.,FINANCIAL SERVICES,YESBANK,EQ,INE528G01027
