Company Name,Industry,Symbol,Series,ISIN Code
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS,EQ,INE742F01042
Adani Power Ltd.,ENERGY,ADANIPOWER,EQ,INE814H01011
Adani Transmission Ltd.,ENERGY,ADANITRANS,EQ,INE931S01010
Apollo Tyres Ltd.,AUTOMOBILE,APOLLOTYRE,EQ,INE438A01022
Bank of Baroda,FINANCIAL SERVICES,BANKBARODA,EQ,INE028A01039
Canara Bank,FINANCIAL SERVICES,CANBK,EQ,INE476A01014
Capital First Ltd.,FINANCIAL SERVICES,CAPF,EQ,INE688I01017
Century Textile & Industries Ltd.,CEMENT & CEMENT PRODUCTS,CENTURYTEX,EQ,INE055A01016
DLF Ltd.,CONSTRUCTION,DLF,EQ,INE271C01023
Delta Corp Ltd.,SERVICES,DELTACORP,EQ,INE124G01033
Dewan Housing Finance Corporation Ltd.,FINANCIAL SERVICES,DHFL,EQ,INE202B01012
Edelweiss Financial Services Ltd.,FINANCIAL SERVICES,EDELWEISS,EQ,INE532F01054
GMR Infrastructure Ltd.,CONSTRUCTION,GMRINFRA,EQ,INE776C01039
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,CHEMICALS,GNFC,EQ,INE113A01013
Gujarat State Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,GSFC,EQ,INE026A01025
Hindalco Industries Ltd.,METALS,HINDALCO,EQ,INE038A01020
ICICI Bank Ltd.,FINANCIAL SERVICES,ICICIBANK,EQ,INE090A01021
IDBI Bank Ltd.,FINANCIAL SERVICES,IDBI,EQ,INE008A01015
IRB Infrastructure Developers Ltd.,CONSTRUCTION,IRB,EQ,INE821I01014
India Cements Ltd.,CEMENT & CEMENT PRODUCTS,INDIACEM,EQ,INE383A01012
Indiabulls Real Estate Ltd.,CONSTRUCTION,IBREALEST,EQ,INE069I01010
Indiabulls Ventures Ltd.,FINANCIAL SERVICES,IBVENTURES,BE,INE274G01010
Indian Bank,FINANCIAL SERVICES,INDIANB,EQ,INE562A01011
JSW Energy Ltd.,ENERGY,JSWENERGY,EQ,INE121E01018
Jain Irrigation Systems Ltd.,INDUSTRIAL MANUFACTURING,JISLJALEQS,EQ,INE175A01038
Jaiprakash Associates Ltd.,CEMENT & CEMENT PRODUCTS,JPASSOCIAT,EQ,INE455F01025
Jindal Steel & Power Ltd.,METALS,JINDALSTEL,EQ,INE749A01030
Karnataka Bank Ltd.,FINANCIAL SERVICES,KTKBANK,EQ,INE614B01018
L&T Finance Holdings Ltd.,FINANCIAL SERVICES,L&TFH,EQ,INE498L01015
Manappuram Finance Ltd.,FINANCIAL SERVICES,MANAPPURAM,EQ,INE522D01027
NCC Ltd.,CONSTRUCTION,NCC,EQ,INE868B01028
National Aluminium Co. Ltd.,METALS,NATIONALUM,EQ,INE139A01034
PC Jeweller Ltd.,CONSUMER GOODS,PCJEWELLER,EQ,INE785M01013
Power Finance Corporation Ltd.,FINANCIAL SERVICES,PFC,EQ,INE134E01011
Punjab National Bank,FINANCIAL SERVICES,PNB,EQ,INE160A01022
Radico Khaitan Ltd,CONSUMER GOODS,RADICO,EQ,INE944F01028
Raymond Ltd.,TEXTILES,RAYMOND,EQ,INE301A01014
Reliance Infrastructure Ltd.,ENERGY,RELINFRA,EQ,INE036A01016
Rural Electrification Corporation Ltd.,FINANCIAL SERVICES,RECLTD,EQ,INE020B01018
State Bank of India,FINANCIAL SERVICES,SBIN,EQ,INE062A01020
Steel Authority of India Ltd.,METALS,SAIL,EQ,INE114A01011
Suzlon Energy Ltd.,INDUSTRIAL MANUFACTURING,SUZLON,EQ,INE040H01021
TV18 Broadcast Ltd.,MEDIA & ENTERTAINMENT,TV18BRDCST,EQ,INE886H01027
Tata Motors Ltd.,AUTOMOBILE,TATAMOTORS,EQ,INE155A01022
Tata Steel Ltd.,METALS,TATASTEEL,EQ,INE081A01012
Ujjivan Financial Services Ltd.,FINANCIAL SERVICES,UJJIVAN,EQ,INE334L01012
Union Bank of India,FINANCIAL SERVICES,UNIONBANK,EQ,INE692A01016
Vedanta Ltd.,METALS,VEDL,EQ,INE205A01025
Voltas Ltd.,CONSTRUCTION,VOLTAS,EQ,INE226A01021
Yes Bank Ltd.,FINANCIAL SERVICES,YESBANK,EQ,INE528G01027
